r/R(chord),c/R,r/R(pitch),twist (deg)
"[0.03805239 0.0676741  0.0992482  0.13257362 0.16745793 0.20371734
 0.2411767  0.27966949 0.31903781 0.35913242 0.39981271 0.44094668
 0.48241101 0.52409097 0.5658805  0.60768215 0.64940713 0.69097526
 0.73231501 0.77336348 0.81406641 0.85437818 0.89426178 0.93368887
 0.97263973 1.01110325]","[0.1061434  0.17906429 0.23332563 0.27174249 0.29691295 0.31121808
 0.31682193 0.31567155 0.30949699 0.29981128 0.28791045 0.27487352
 0.26156251 0.2486224  0.23648122 0.22534993 0.21522254 0.205876
 0.19687029 0.18754837 0.17703618 0.16424268 0.1478598  0.12636246
 0.0980086  0.06083911]","[0.00492627 0.00780475 0.01118109 0.01559837 0.02151417 0.02930053
 0.03924399 0.05154556 0.06632071 0.08359942 0.10332613 0.12535977
 0.14947375 0.17535595 0.20261171 0.23081135 0.25955252 0.28846846
 0.31723575 0.34559068 0.37333299 0.40032587 0.42649594 0.45183326
 0.47639137 0.50028722 0.52370121 0.5468762  0.57009781 0.5936653
 0.61788717 0.64308114 0.66957419 0.69770253 0.7278116  0.76025607
 0.79539988 0.83361616 0.87528731 0.92080495 0.97056996 1.02499244]","[12.9423458  13.18800362 13.77503161 14.60211589 15.57883181 16.62564391
 17.67390594 18.6658609  19.55464095 20.30426749 20.88965114 21.2965917
 21.5217782  21.5727889  21.46775519 21.22997369 20.88084483 20.43897441
 19.9205846  19.34038119 18.71174952 18.04675527 17.35614453 16.64934375
 15.93445975 15.21827974 14.5062713  13.80259461 13.11033924 12.43187574
 11.76890854 11.12247594 10.49295016  9.88003731  9.2827774   8.69954433
  8.12804589  7.56532379  7.00775361  6.45104485  5.89024088  5.31971899]"
"[0.03805239 0.0676741  0.0992482  0.13257362 0.16745793 0.20371734
 0.2411767  0.27966949 0.31903781 0.35913242 0.39981271 0.44094668
 0.48241101 0.52409097 0.5658805  0.60768215 0.64940713 0.69097526
 0.73231501 0.77336348 0.81406641 0.85437818 0.89426178 0.93368887
 0.97263973 1.01110325]","[0.1061434  0.15439048 0.18964044 0.21376758 0.22851475 0.23549328
 0.23618303 0.23193239 0.22395826 0.21334603 0.20104965 0.18789156
 0.17456273 0.16162263 0.14949926 0.13848913 0.12875729 0.12033727
 0.11313113 0.10690947 0.10131138 0.09584448 0.08988489 0.08267727
 0.07333478 0.06083911]","[0.00492627 0.00780475 0.01118109 0.01559837 0.02151417 0.02930053
 0.03924399 0.05154556 0.06632071 0.08359942 0.10332613 0.12535977
 0.14947375 0.17535595 0.20261171 0.23081135 0.25955252 0.28846846
 0.31723575 0.34559068 0.37333299 0.40032587 0.42649594 0.45183326
 0.47639137 0.50028722 0.52370121 0.5468762  0.57009781 0.5936653
 0.61788717 0.64308114 0.66957419 0.69770253 0.7278116  0.76025607
 0.79539988 0.83361616 0.87528731 0.92080495 0.97056996 1.02499244]","[12.9423458  13.21246596 13.8638039  14.78257544 15.86741268 17.02936403
 18.19189422 19.29088423 20.27463138 21.10384924 21.75166772 22.203633
 22.45770757 22.5242702  22.42568486 22.18938841 21.83883151 21.39234497
 20.86433578 20.26780988 19.61494224 18.91707924 18.18473871 17.42760992
 16.65455356 15.87360175 15.09195807 14.31599446 13.55119218 12.80205411
 12.0720915  11.36382404 10.67877981 10.01749529  9.37951536  8.76339331
  8.16669082  7.58597798  7.01683328  6.45384362  5.89060429  5.31971899]"
"[0.03805239 0.0676741  0.0992482  0.13257362 0.16745793 0.20371734
 0.2411767  0.27966949 0.31903781 0.35913242 0.39981271 0.44094668
 0.48241101 0.52409097 0.5658805  0.60768215 0.64940713 0.69097526
 0.73231501 0.77336348 0.81406641 0.85437818 0.89426178 0.93368887
 0.97263973 1.01110325]","[0.1061434  0.1794897  0.23407882 0.27274206 0.29809223 0.31252368
 0.31821225 0.31711533 0.3109718  0.30130206 0.28940805 0.27637321
 0.2630625  0.2501224  0.23798091 0.22684753 0.21671332 0.20735081
 0.19831407 0.18893869 0.17834178 0.16542196 0.14885936 0.12711565
 0.09843401 0.06083911]","[0.00492627 0.00780475 0.01118109 0.01559837 0.02151417 0.02930053
 0.03924399 0.05154556 0.06632071 0.08359942 0.10332613 0.12535977
 0.14947375 0.17535595 0.20261171 0.23081135 0.25955252 0.28846846
 0.31723575 0.34559068 0.37333299 0.40032587 0.42649594 0.45183326
 0.47639137 0.50028722 0.52370121 0.5468762  0.57009781 0.5936653
 0.61788717 0.64308114 0.66957419 0.69770253 0.7278116  0.76025607
 0.79539988 0.83361616 0.87528731 0.92080495 0.97056996 1.02499244]","[12.9423458  13.24712095 13.98956465 15.03822645 16.27623557 17.60130089
 18.92571094 20.17633396 21.29461781 22.23659005 22.97285788 23.48860818
 23.7836075  23.87220204 23.78275189 23.54855927 23.1959793  22.74295327
 22.20131662 21.58166719 20.89446526 20.15003819 19.35858047 18.53015367
 17.67468646 16.80197461 15.92168101 15.04331092 14.17573385 13.32647345
 12.5016007  11.70573386 10.94203849 10.21222744  9.51656081  8.85384603
  8.22143779  7.61523807  7.02969614  6.45780854  5.89111912  5.31971899]"
"[0.03805239 0.0676741  0.0992482  0.13257362 0.16745793 0.20371734
 0.2411767  0.27966949 0.31903781 0.35913242 0.39981271 0.44094668
 0.48241101 0.52409097 0.5658805  0.60768215 0.64940713 0.69097526
 0.73231501 0.77336348 0.81406641 0.85437818 0.89426178 0.93368887
 0.97263973 1.01110325]","[0.1061434  0.16757821 0.21298942 0.24475417 0.26507241 0.27596688
 0.27928313 0.27668953 0.26967723 0.25956022 0.24747525 0.23438192
 0.22106261 0.20812251 0.19598962 0.18491473 0.17497147 0.16605625
 0.15788827 0.15000957 0.14178498 0.13240214 0.12087148 0.10602625
 0.08652251 0.06083911]","[0.00492627 0.00780475 0.01118109 0.01559837 0.02151417 0.02930053
 0.03924399 0.05154556 0.06632071 0.08359942 0.10332613 0.12535977
 0.14947375 0.17535595 0.20261171 0.23081135 0.25955252 0.28846846
 0.31723575 0.34559068 0.37333299 0.40032587 0.42649594 0.45183326
 0.47639137 0.50028722 0.52370121 0.5468762  0.57009781 0.5936653
 0.61788717 0.64308114 0.66957419 0.69770253 0.7278116  0.76025607
 0.79539988 0.83361616 0.87528731 0.92080495 0.97056996 1.02499244]","[12.9423458  13.22877419 13.92298543 14.9028818  16.05979992 17.29851079
 18.53721974 19.70756646 20.75462499 21.63690374 22.32634544 22.8083272
 23.08166048 23.15859107 23.06430463 22.82899823 22.4774893  22.02792535
 21.49350323 20.88609567 20.21707072 19.49729522 18.73713484 17.94645404
 17.1346161  16.3104831  15.48241592 14.65826103 13.84509414 13.04883968
 12.27421348 11.52472278 10.80266625 10.10913395  9.44400734  8.8059593
  8.1924541   7.59974743  7.02288639  6.45570946  5.89084656  5.31971899]"
"[0.03805239 0.0676741  0.0992482  0.13257362 0.16745793 0.20371734
 0.2411767  0.27966949 0.31903781 0.35913242 0.39981271 0.44094668
 0.48241101 0.52409097 0.5658805  0.60768215 0.64940713 0.69097526
 0.73231501 0.77336348 0.81406641 0.85437818 0.89426178 0.93368887
 0.97263973 1.01110325]","[0.1061434  0.17013067 0.21750858 0.25075158 0.27214808 0.28380048
 0.28762509 0.2853522  0.27852607 0.2685049  0.25646085 0.24338005
 0.23006259 0.21712249 0.20498775 0.19390033 0.18391615 0.17490508
 0.16655094 0.15835153 0.14961858 0.13947781 0.12686888 0.11054541
 0.08907497 0.06083911]","[0.00492627 0.00780475 0.01118109 0.01559837 0.02151417 0.02930053
 0.03924399 0.05154556 0.06632071 0.08359942 0.10332613 0.12535977
 0.14947375 0.17535595 0.20261171 0.23081135 0.25955252 0.28846846
 0.31723575 0.34559068 0.37333299 0.40032587 0.42649594 0.45183326
 0.47639137 0.50028722 0.52370121 0.5468762  0.57009781 0.5936653
 0.61788717 0.64308114 0.66957419 0.69770253 0.7278116  0.76025607
 0.79539988 0.83361616 0.87528731 0.92080495 0.97056996 1.02499244]","[12.9423458  13.13092482 13.56789626 14.18104363 14.90547645 15.68363027
 16.46526663 17.20747311 17.87466329 18.43857675 18.87827911 19.18016199
 19.33794302 19.35266586 19.23258596 18.99133934 18.64554259 18.21444309
 17.71849851 17.17638093 16.60429984 16.01599935 15.4227581  14.83338934
 14.25424086 13.68919504 13.13966882 12.60466163 12.08168238 11.56812624
 11.06148162 10.55933036 10.05934763  9.55930202  9.05705548  8.55056337
  8.0378744   7.51713069  6.98656773  6.44451439  5.88939293  5.31971899]"
"[0.03805239 0.0676741  0.0992482  0.13257362 0.16745793 0.20371734
 0.2411767  0.27966949 0.31903781 0.35913242 0.39981271 0.44094668
 0.48241101 0.52409097 0.5658805  0.60768215 0.64940713 0.69097526
 0.73231501 0.77336348 0.81406641 0.85437818 0.89426178 0.93368887
 0.97263973 1.01110325]","[0.1061434  0.16119705 0.20169152 0.22976066 0.24738322 0.25638288
 0.25842824 0.25503285 0.24755515 0.23719851 0.22501125 0.21188659
 0.19856267 0.18562257 0.17349428 0.16245073 0.15260977 0.14393416
 0.13623159 0.12915469 0.12220098 0.11471295 0.10587797 0.09472836
 0.08014135 0.06083911]","[0.00492627 0.00780475 0.01118109 0.01559837 0.02151417 0.02930053
 0.03924399 0.05154556 0.06632071 0.08359942 0.10332613 0.12535977
 0.14947375 0.17535595 0.20261171 0.23081135 0.25955252 0.28846846
 0.31723575 0.34559068 0.37333299 0.40032587 0.42649594 0.45183326
 0.47639137 0.50028722 0.52370121 0.5468762  0.57009781 0.5936653
 0.61788717 0.64308114 0.66957419 0.69770253 0.7278116  0.76025607
 0.79539988 0.83361616 0.87528731 0.92080495 0.97056996 1.02499244]","[12.9423458  13.06976896 13.34596552 13.72989477 14.18402428 14.67432995
 15.17029595 15.64491477 16.07468722 16.43962238 16.72323765 16.91255873
 16.99811961 16.97396261 16.83776179 16.59280253 16.25057589 15.83101668
 15.35912056 14.85780921 14.34631804 13.84018943 13.35127264 12.8877239
 12.45400633 12.05089    11.67545188 11.321162   10.97955003 10.64268033
 10.30352422  9.95596009  9.59477349  9.21565706  8.81521057  8.39094091
  7.94126209  7.46549522  6.96386856  6.43751746  5.88848441  5.31971899]"
"[0.03805239 0.0676741  0.0992482  0.13257362 0.16745793 0.20371734
 0.2411767  0.27966949 0.31903781 0.35913242 0.39981271 0.44094668
 0.48241101 0.52409097 0.5658805  0.60768215 0.64940713 0.69097526
 0.73231501 0.77336348 0.81406641 0.85437818 0.89426178 0.93368887
 0.97263973 1.01110325]","[0.1061434  0.14843473 0.17909574 0.19977364 0.21200484 0.21721488
 0.21671847 0.21171949 0.20331097 0.19247511 0.18008325 0.16689592
 0.15356278 0.14062268 0.12850361 0.11752273 0.10788637 0.09968999
 0.09291823 0.08744491 0.08303298 0.07933457 0.07589095 0.07213257
 0.06737903 0.06083911]","[0.00492627 0.00780475 0.01118109 0.01559837 0.02151417 0.02930053
 0.03924399 0.05154556 0.06632071 0.08359942 0.10332613 0.12535977
 0.14947375 0.17535595 0.20261171 0.23081135 0.25955252 0.28846846
 0.31723575 0.34559068 0.37333299 0.40032587 0.42649594 0.45183326
 0.47639137 0.50028722 0.52370121 0.5468762  0.57009781 0.5936653
 0.61788717 0.64308114 0.66957419 0.69770253 0.7278116  0.76025607
 0.79539988 0.83361616 0.87528731 0.92080495 0.97056996 1.02499244]","[12.9423458  13.22877419 13.92298543 14.9028818  16.05979992 17.29851079
 18.53721974 19.70756646 20.75462499 21.63690374 22.32634544 22.8083272
 23.08166048 23.15859107 23.06430463 22.82899823 22.4774893  22.02792535
 21.49350323 20.88609567 20.21707072 19.49729522 18.73713484 17.94645404
 17.1346161  16.3104831  15.48241592 14.65826103 13.84509414 13.04883968
 12.27421348 11.52472278 10.80266625 10.10913395  9.44400734  8.8059593
  8.1924541   7.59974743  7.02288639  6.45570946  5.89084656  5.31971899]"
"[0.03805239 0.0676741  0.0992482  0.13257362 0.16745793 0.20371734
 0.2411767  0.27966949 0.31903781 0.35913242 0.39981271 0.44094668
 0.48241101 0.52409097 0.5658805  0.60768215 0.64940713 0.69097526
 0.73231501 0.77336348 0.81406641 0.85437818 0.89426178 0.93368887
 0.97263973 1.01110325]","[0.1061434  0.17778806 0.23106605 0.26874379 0.29337511 0.30730128
 0.31265095 0.31134021 0.30507257 0.29533894 0.28341765 0.27037446
 0.25706252 0.24412242 0.23198215 0.22085713 0.2107502  0.20145158
 0.19253896 0.18337739 0.17311938 0.16070484 0.1448611  0.12410288
 0.09673236 0.06083911]","[0.00492627 0.00780475 0.01118109 0.01559837 0.02151417 0.02930053
 0.03924399 0.05154556 0.06632071 0.08359942 0.10332613 0.12535977
 0.14947375 0.17535595 0.20261171 0.23081135 0.25955252 0.28846846
 0.31723575 0.34559068 0.37333299 0.40032587 0.42649594 0.45183326
 0.47639137 0.50028722 0.52370121 0.5468762  0.57009781 0.5936653
 0.61788717 0.64308114 0.66957419 0.69770253 0.7278116  0.76025607
 0.79539988 0.83361616 0.87528731 0.92080495 0.97056996 1.02499244]","[12.9423458  13.14927158 13.63447548 14.31638828 15.1219121  15.98642037
 16.85375784 17.67624062 18.41465611 19.03826306 19.52479155 19.86044296
 20.03989004 20.06627684 19.95103321 19.71090038 19.36403259 18.92947101
 18.4263119  17.87195244 17.28169438 16.66874232 16.04420374 15.41708897
 14.79431122 14.18068655 13.5789339  12.98971152 12.41232209 11.84576001
 11.28886885 10.74034144 10.19871987  9.6623955   9.12960895  8.5984501
  8.06685809  7.53262133  6.99337748  6.44661346  5.88966548  5.31971899]"
"[0.03805239 0.0676741  0.0992482  0.13257362 0.16745793 0.20371734
 0.2411767  0.27966949 0.31903781 0.35913242 0.39981271 0.44094668
 0.48241101 0.52409097 0.5658805  0.60768215 0.64940713 0.69097526
 0.73231501 0.77336348 0.81406641 0.85437818 0.89426178 0.93368887
 0.97263973 1.01110325]","[0.1061434  0.15226343 0.18587447 0.20876975 0.22261835 0.22896528
 0.2292314  0.2247135  0.21658423 0.20589213 0.19356165 0.18039312
 0.16706275 0.15412265 0.14200081 0.13100113 0.12130339 0.11296324
 0.10591224 0.09995785 0.09478338 0.08994808 0.08488705 0.07891131
 0.07120773 0.06083911]","[0.00492627 0.00780475 0.01118109 0.01559837 0.02151417 0.02930053
 0.03924399 0.05154556 0.06632071 0.08359942 0.10332613 0.12535977
 0.14947375 0.17535595 0.20261171 0.23081135 0.25955252 0.28846846
 0.31723575 0.34559068 0.37333299 0.40032587 0.42649594 0.45183326
 0.47639137 0.50028722 0.52370121 0.5468762  0.57009781 0.5936653
 0.61788717 0.64308114 0.66957419 0.69770253 0.7278116  0.76025607
 0.79539988 0.83361616 0.87528731 0.92080495 0.97056996 1.02499244]","[12.9423458  13.17373392 13.72324777 14.49684783 15.41049297 16.3901405
 17.37174612 18.30126395 19.13464653 19.83784481 20.38680813 20.76748427
 20.97581941 21.01775814 20.90896288 20.6703151  20.32201927 19.88284158
 19.37006308 18.79938113 18.1848871  17.53906629 16.87279792 16.19535514
 15.51440503 14.83600856 14.16462068 13.50311137 12.85317503 12.21593837
 11.59205181 10.98168954 10.38454953  9.79985349  9.22634692  8.66229909
  8.10550302  7.55327551  7.00245714  6.44941223  5.89002889  5.31971899]"
"[0.03805239 0.0676741  0.0992482  0.13257362 0.16745793 0.20371734
 0.2411767  0.27966949 0.31903781 0.35913242 0.39981271 0.44094668
 0.48241101 0.52409097 0.5658805  0.60768215 0.64940713 0.69097526
 0.73231501 0.77336348 0.81406641 0.85437818 0.89426178 0.93368887
 0.97263973 1.01110325]","[0.1061434  0.16842903 0.2144958  0.24675331 0.26743097 0.27857808
 0.28206378 0.27957709 0.27262685 0.26254178 0.25047045 0.2373813
 0.2240626  0.2111225  0.19898899 0.18790993 0.17795303 0.16900586
 0.16077583 0.15279022 0.14439618 0.1347607  0.12287061 0.10753264
 0.08737333 0.06083911]","[0.00492627 0.00780475 0.01118109 0.01559837 0.02151417 0.02930053
 0.03924399 0.05154556 0.06632071 0.08359942 0.10332613 0.12535977
 0.14947375 0.17535595 0.20261171 0.23081135 0.25955252 0.28846846
 0.31723575 0.34559068 0.37333299 0.40032587 0.42649594 0.45183326
 0.47639137 0.50028722 0.52370121 0.5468762  0.57009781 0.5936653
 0.61788717 0.64308114 0.66957419 0.69770253 0.7278116  0.76025607
 0.79539988 0.83361616 0.87528731 0.92080495 0.97056996 1.02499244]","[12.9423458  13.16354128 13.68625932 14.42165635 15.29025094 16.22192378
 17.15591767 18.04083756 18.83465052 19.50468575 20.02763455 20.38955039
 20.58584884 20.6213076  20.50982552 20.27055897 19.92285816 19.48560384
 18.97683342 18.41295251 17.8085568  17.1764313  16.52755035 15.87107757
 15.21436594 14.56295772 13.92058452 13.28919476 12.6694863  12.06169738
 11.46572557 10.88112783 10.3071205   9.74257933  9.18603943  8.63569534
  8.08940097  7.5446696   6.99867395  6.44824608  5.88987747  5.31971899]"
